,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition,price
0,6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763,159348797,new jersey, usa,10 days left,172.69371
1,2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217,166951262,tennessee, usa,6 days left,55.2410248
2,5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413,167655728,georgia, usa,2 days left,21.18065
3,25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745,167753855,virginia, usa,22 hours left,160.365
4,27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991,167763266,florida, usa,22 hours left,18.43158
5,5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989,167655771,texas, usa,2 days left,25.96977
6,7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133,167753872,georgia, usa,22 hours left,108.8065
7,13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762,167692494,california, usa,20 hours left,31.405875
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860,167763267,florida, usa,22 hours left,13.68166
9,5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542,167656121,texas, usa,2 days left,33.29445
10,10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675,167753874,georgia, usa,22 hours left,112.17024
11,12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280,167692496,california, usa,20 hours left,51.2278
12,31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059,167763273,tennessee, usa,22 hours left,73.07971
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095,167656123,texas, usa,2 days left,75.28695
14,20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790,167753916,virginia, usa,22 hours left,208.56699
15,12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389,167692497,california, usa,20 hours left,32.724437
16,5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723,167801757,north carolina, usa,2 days left,24.02088
17,16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844,167763275,tennessee, usa,22 hours left,33.0033
18,5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607,167656124,texas, usa,2 days left,18.606994
19,38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569,167753923,virginia, usa,22 hours left,207.1878
20,12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380,167692498,california, usa,20 hours left,37.702728
21,7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611,167801773,north carolina, usa,2 days left,28.34079
22,15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023,167763280,ohio, usa,2 days left,92.367
23,6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276,167656125,texas, usa,2 days left,28.43418
24,20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008,167753937,virginia, usa,22 hours left,219.4608
25,11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918,167692503,california, usa,20 hours left,33.3676
26,21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029,167801828,north carolina, usa,2 days left,24.61965
27,12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639,167763299,ohio, usa,2 days left,37.2468
28,4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013,167656126,texas, usa,2 days left,18.508906
29,13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687,167754098,tennessee, usa,22 hours left,121.8074
30,12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335,167692504,california, usa,20 hours left,33.508644
31,18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292,167801920,new york, usa,19 hours left,133.13895
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389,167763370,pennsylvania, usa,22 hours left,137.75348
33,5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401,167656127,texas, usa,2 days left,20.143136
34,13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799,167754173,virginia, usa,22 hours left,76.4621
35,11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793,167692507,california, usa,20 hours left,33.27835
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040,167802259,new york, usa,19 hours left,184.10562
37,19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471,167763391,tennessee, usa,22 hours left,4.6656
38,7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692,167656128,texas, usa,2 days left,23.691912
39,7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682,167754187,tennessee, usa,22 hours left,123.5969
